step,reward,waiting_time,queue_length,emergency_count
54,-1.0199999999999996,47.34615384615385,0.36538461538461536,0
55,-1.2899999999999991,49.30769230769231,0.4230769230769231,0
56,-1.120000000000001,51.78846153846154,0.5,0
57,-1.1799999999999997,53.90384615384615,0.46153846153846156,0
58,-1.1999999999999993,56.21153846153846,0.46153846153846156,0
59,-1.1999999999999993,58.51923076923077,0.46153846153846156,0
60,-1.1999999999999993,60.82692307692308,0.46153846153846156,0
61,-1.2000000000000028,63.13461538461539,0.46153846153846156,0
62,-1.1999999999999957,65.4423076923077,0.46153846153846156,0
63,-1.2000000000000028,67.75,0.46153846153846156,0
64,-1.2000000000000028,70.0576923076923,0.46153846153846156,0
65,-1.1999999999999957,72.36538461538461,0.46153846153846156,0
66,-1.2000000000000028,74.67307692307692,0.46153846153846156,0
67,-1.2299999999999969,76.98076923076923,0.46153846153846156,0
68,-1.25,79.34615384615384,0.4807692307692308,0
69,-1.4100000000000037,81.75,0.5192307692307693,0
70,-1.5,84.46153846153847,0.5576923076923077,0
71,-1.5499999999999972,87.34615384615384,0.5769230769230769,0
72,-1.4500000000000028,90.32692307692308,0.5961538461538461,0
73,-1.5,93.11538461538461,0.5769230769230769,0
74,-1.5,96.0,0.5769230769230769,0
75,-1.5,98.88461538461539,0.5769230769230769,0
76,-1.5,101.76923076923077,0.5769230769230769,0
77,-1.5,104.65384615384616,0.5769230769230769,0
78,-1.5,107.53846153846153,0.5769230769230769,0
79,-1.5,110.42307692307692,0.5769230769230769,0
80,-1.5,113.3076923076923,0.5769230769230769,0
81,-1.5,116.1923076923077,0.5769230769230769,0
82,-1.5,119.07692307692308,0.5769230769230769,0
83,-1.5799999999999983,121.96153846153847,0.5769230769230769,0
84,-1.7199999999999989,125.0,0.6346153846153846,0
85,-1.7999999999999972,128.30769230769232,0.6923076923076923,0
86,-1.6700000000000017,131.76923076923077,0.6923076923076923,0
87,-1.7900000000000063,134.98076923076923,0.6730769230769231,0
88,-1.75,138.42307692307693,0.6923076923076923,0
89,-1.7999999999999972,141.78846153846155,0.6923076923076923,0
90,-1.7999999999999972,145.25,0.6923076923076923,0
91,-1.7999999999999972,148.71153846153845,0.6923076923076923,0
92,-1.8000000000000114,152.17307692307693,0.6923076923076923,0
93,-1.7999999999999972,155.6346153846154,0.6923076923076923,0
94,-1.7999999999999972,159.09615384615384,0.6923076923076923,0
95,-1.7999999999999972,162.55769230769232,0.6923076923076923,0
96,-1.8200000000000074,166.01923076923077,0.6923076923076923,0
97,-1.9299999999999926,169.51923076923077,0.7115384615384616,0
98,-2.0700000000000074,173.23076923076923,0.7692307692307693,0
99,-2.1400000000000006,177.21153846153845,0.8076923076923077,0
100,-2.059999999999988,181.32692307692307,0.8269230769230769,0
101,-2.1000000000000085,185.28846153846155,0.8076923076923077,0
102,-2.0999999999999943,189.32692307692307,0.8076923076923077,0
103,-2.1000000000000085,193.3653846153846,0.8076923076923077,0
104,-2.0999999999999943,197.40384615384616,0.8076923076923077,0
105,-2.0999999999999943,201.44230769230768,0.8076923076923077,0
106,-2.1000000000000085,205.48076923076923,0.8076923076923077,0
107,-2.0999999999999943,209.51923076923077,0.8076923076923077,0
108,-2.1000000000000085,213.55769230769232,0.8076923076923077,0
109,-2.0999999999999943,217.59615384615384,0.8076923076923077,0
110,-2.0999999999999943,221.6346153846154,0.8076923076923077,0
111,-2.160000000000011,225.67307692307693,0.8076923076923077,0
