step,reward,waiting_time,queue_length
741,0.26,0.45,0.15
742,-0.1299999999999999,0.2,0.075
743,-0.18000000000000016,0.1,0.075
744,-0.009999999999999787,0.5,0.125
745,0.16999999999999993,0.55,0.225
746,-0.15000000000000013,0.375,0.125
747,-0.17999999999999994,0.175,0.1
748,0.010000000000000009,0.45,0.125
749,0.33000000000000007,0.475,0.125
750,-0.08000000000000007,0.125,0.1
751,-0.1299999999999999,0.05,0.05
752,0.04999999999999982,0.35,0.125
753,0.31000000000000005,0.375,0.1
754,-0.12,0.15,0.1
755,-0.19000000000000006,0.15,0.075
756,0.030000000000000027,0.475,0.175
757,0.29000000000000004,0.45,0.125
758,-0.1499999999999999,0.225,0.125
759,-0.17000000000000015,0.15,0.075
760,-0.039999999999999813,0.45,0.125
761,0.21999999999999986,0.525,0.1
762,-0.10999999999999999,0.25,0.125
763,-0.17999999999999994,0.125,0.075
764,-0.010000000000000009,0.45,0.125
765,0.27,0.475,0.15
766,-0.16999999999999993,0.35,0.1
767,-0.13000000000000012,0.225,0.1
768,0.1200000000000001,0.25,0.1
769,0.33999999999999986,0.2,0.1
770,-0.10999999999999999,0.05,0.025
771,-0.21000000000000008,0.15,0.1
772,-0.039999999999999813,0.575,0.125
773,0.2499999999999999,0.65,0.125
774,-0.14,0.225,0.075
775,-0.1499999999999999,0.175,0.075
776,0.030000000000000027,0.4,0.1
777,0.31999999999999995,0.425,0.1
778,-0.10999999999999999,0.175,0.075
779,-0.16999999999999993,0.075,0.075
780,0.029999999999999805,0.475,0.125
781,0.28000000000000014,0.45,0.125
782,-0.17000000000000004,0.175,0.075
783,-0.17999999999999994,0.175,0.075
784,0.020000000000000018,0.425,0.125
785,0.2799999999999999,0.45,0.125
786,-0.15000000000000002,0.2,0.1
787,-0.18999999999999995,0.15,0.125
788,0.0,0.5,0.125
789,0.31999999999999995,0.5,0.125
790,-0.17000000000000004,0.125,0.05
791,-0.16999999999999993,0.175,0.1
792,0.010000000000000009,0.45,0.125
793,0.28,0.5,0.175
794,-0.17000000000000015,0.175,0.075
795,-0.21999999999999997,0.175,0.125
796,0.050000000000000044,0.5,0.125
797,0.29000000000000004,0.525,0.15
798,-0.1499999999999999,0.225,0.1
799,-0.17000000000000015,0.175,0.125
800,0.06000000000000005,0.475,0.125
801,0.27,0.425,0.15
802,-0.15999999999999992,0.375,0.125
803,-0.18000000000000016,0.15,0.075
804,0.030000000000000027,0.45,0.15
805,0.30000000000000004,0.475,0.125
806,-0.1200000000000001,0.2,0.075
807,-0.16999999999999993,0.075,0.05
808,0.040000000000000036,0.425,0.15
809,0.33999999999999997,0.425,0.125
810,-0.09999999999999998,0.175,0.1
811,-0.15999999999999992,0.075,0.05
812,0.06999999999999984,0.4,0.1
813,0.33000000000000007,0.35,0.1
814,-0.14,0.15,0.075
815,-0.15000000000000002,0.15,0.1
816,0.050000000000000044,0.425,0.1
817,0.26,0.375,0.15
818,-0.14,0.35,0.1
819,-0.15000000000000002,0.125,0.125
820,-0.010000000000000009,0.35,0.1
821,0.22999999999999998,0.4,0.175
822,-0.1499999999999999,0.1,0.05
823,-0.15000000000000013,0.15,0.075
824,0.0,0.375,0.1
825,0.30000000000000004,0.35,0.125
826,-0.1299999999999999,0.15,0.075
827,-0.17000000000000015,0.175,0.1
828,0.020000000000000018,0.45,0.125
829,0.2500000000000001,0.45,0.1
830,-0.17000000000000004,0.225,0.075
831,-0.15999999999999992,0.2,0.075
832,-0.040000000000000036,0.425,0.1
833,0.20999999999999996,0.55,0.175
834,-0.1399999999999999,0.325,0.075
835,-0.17000000000000015,0.175,0.075
836,0.010000000000000009,0.45,0.125
837,0.25,0.475,0.15
838,-0.16999999999999993,0.25,0.1
839,-0.16999999999999993,0.225,0.125
840,0.039999999999999813,0.425,0.1
841,0.30000000000000004,0.475,0.125
842,-0.1499999999999999,0.25,0.1
843,-0.15000000000000013,0.175,0.075
844,0.06000000000000005,0.375,0.1
845,0.33000000000000007,0.425,0.125
846,-0.15000000000000013,0.25,0.075
847,-0.19999999999999996,0.15,0.1
848,0.010000000000000009,0.55,0.15
849,0.32000000000000006,0.55,0.125
850,-0.18999999999999995,0.225,0.075
851,-0.15000000000000013,0.225,0.1
852,0.08000000000000007,0.4,0.1
853,0.33999999999999997,0.375,0.15
854,-0.14,0.15,0.05
855,-0.17999999999999994,0.175,0.125
856,0.010000000000000009,0.5,0.15
857,0.25,0.525,0.15
858,-0.15000000000000013,0.275,0.1
859,-0.16999999999999993,0.125,0.05
860,0.020000000000000018,0.475,0.15
861,0.30000000000000004,0.475,0.125
862,-0.1200000000000001,0.225,0.1
863,-0.1499999999999999,0.15,0.075
864,0.06000000000000005,0.35,0.125
865,0.33999999999999997,0.325,0.075
866,-0.09000000000000008,0.075,0.05
867,-0.13,0.05,0.025
868,0.0,0.3,0.1
869,0.29000000000000004,0.4,0.125
870,-0.13,0.1,0.05
871,-0.16000000000000003,0.15,0.075
872,0.0,0.425,0.1
873,0.24,0.45,0.125
874,-0.20999999999999996,0.375,0.125
875,-0.20999999999999996,0.275,0.1
876,0.030000000000000027,0.575,0.15
877,0.21999999999999997,0.5,0.15
878,-0.1200000000000001,0.3,0.1
879,-0.15999999999999992,0.1,0.075
880,-0.010000000000000009,0.4,0.1
881,0.26,0.45,0.175
882,-0.15999999999999992,0.25,0.075
883,-0.16000000000000014,0.175,0.075
884,0.050000000000000044,0.45,0.1
885,0.26,0.45,0.175
886,-0.16999999999999993,0.4,0.125
887,-0.16000000000000014,0.175,0.1
888,0.07000000000000006,0.4,0.125
889,0.35,0.375,0.1
890,-0.16000000000000003,0.15,0.1
891,-0.18999999999999995,0.175,0.1
892,0.020000000000000018,0.475,0.15
893,0.27,0.525,0.15
894,-0.17999999999999994,0.4,0.15
895,-0.13000000000000012,0.2,0.1
896,0.07000000000000006,0.35,0.1
897,0.29999999999999993,0.325,0.125
898,-0.08999999999999997,0.125,0.075
899,-0.18999999999999995,0.1,0.1
900,0.040000000000000036,0.55,0.125
901,0.30999999999999994,0.5,0.175
902,-0.15000000000000002,0.3,0.1
903,-0.17999999999999994,0.15,0.125
904,0.050000000000000044,0.5,0.125
905,0.3599999999999999,0.425,0.1
906,-0.12,0.15,0.125
907,-0.10999999999999999,0.125,0.075
908,0.040000000000000036,0.325,0.1
909,0.24,0.325,0.1
910,-0.18000000000000005,0.25,0.125
911,-0.16000000000000003,0.3,0.1
912,0.0,0.35,0.1
913,0.2500000000000001,0.35,0.125
914,-0.09000000000000008,0.1,0.075
915,-0.17000000000000004,0.125,0.1
916,0.0,0.5,0.15
917,0.29000000000000004,0.5,0.125
918,-0.08999999999999997,0.125,0.05
919,-0.18000000000000005,0.075,0.05
920,-0.010000000000000009,0.525,0.125
921,0.2500000000000001,0.55,0.175
922,-0.14,0.3,0.1
923,-0.14000000000000012,0.125,0.05
924,0.050000000000000044,0.4,0.125
925,0.24,0.45,0.125
926,-0.16999999999999993,0.2,0.075
927,-0.17999999999999994,0.25,0.1
928,-0.010000000000000009,0.5,0.15
929,0.2499999999999999,0.5,0.15
930,-0.18000000000000005,0.2,0.125
931,-0.18999999999999995,0.25,0.1
932,0.0,0.525,0.15
933,0.26,0.575,0.125
934,-0.1499999999999999,0.275,0.125
935,-0.14000000000000012,0.175,0.075
936,0.08000000000000007,0.35,0.1
937,0.30000000000000004,0.35,0.125
938,-0.09000000000000008,0.125,0.05
939,-0.1499999999999999,0.05,0.075
940,0.07999999999999985,0.375,0.1
941,0.28000000000000014,0.35,0.1
942,-0.15000000000000002,0.15,0.075
943,-0.16999999999999993,0.175,0.075
944,0.05999999999999983,0.4,0.125
945,0.30000000000000004,0.35,0.1
946,-0.13,0.15,0.1
947,-0.18000000000000005,0.1,0.075
948,0.020000000000000018,0.525,0.15
949,0.27,0.5,0.125
950,-0.13,0.125,0.075
951,-0.17000000000000004,0.15,0.075
952,0.0,0.475,0.125
953,0.2300000000000001,0.5,0.15
954,-0.17000000000000004,0.375,0.1
955,-0.17999999999999994,0.175,0.1
956,0.010000000000000009,0.45,0.125
957,0.2799999999999999,0.5,0.15
958,-0.15000000000000002,0.2,0.075
959,-0.11999999999999988,0.15,0.1
960,0.020000000000000018,0.3,0.125
961,0.2799999999999999,0.325,0.125
962,-0.12,0.15,0.1
963,-0.15999999999999992,0.1,0.075
964,0.030000000000000027,0.4,0.15
965,0.2899999999999999,0.425,0.125
966,-0.09999999999999998,0.15,0.1
967,-0.17999999999999994,0.125,0.075
968,0.010000000000000009,0.45,0.15
969,0.2699999999999999,0.5,0.125
970,-0.18000000000000005,0.225,0.075
971,-0.21999999999999997,0.225,0.125
972,0.010000000000000009,0.675,0.125
973,0.27,0.675,0.15
974,-0.1499999999999999,0.275,0.1
975,-0.18000000000000016,0.15,0.075
976,0.0,0.475,0.125
977,0.28,0.525,0.15
978,-0.16999999999999993,0.175,0.075
979,-0.18999999999999995,0.225,0.125
980,0.010000000000000009,0.575,0.125
981,0.2899999999999998,0.675,0.175
982,-0.19999999999999996,0.35,0.15
983,-0.1499999999999999,0.25,0.075
984,0.030000000000000027,0.4,0.1
985,0.24,0.475,0.125
986,-0.20000000000000018,0.425,0.125
987,-0.17999999999999994,0.25,0.075
988,0.050000000000000044,0.5,0.15
989,0.3600000000000001,0.5,0.125
990,-0.15000000000000013,0.325,0.125
991,-0.1299999999999999,0.15,0.1
992,0.11999999999999988,0.35,0.075
993,0.3600000000000001,0.3,0.1
994,-0.15000000000000013,0.15,0.075
995,-0.21999999999999997,0.175,0.075
996,-0.010000000000000009,0.625,0.2
997,0.30000000000000004,0.675,0.175
998,-0.17999999999999994,0.35,0.15
999,-0.13000000000000012,0.275,0.075
